code,parent_code,like_count,username,text,created_at
C65nv7bS_2B,C6kra6CPGRq,2,avi0001998,it's very easy to idealize the best pieces of a past relationship when you're not in it anymore. I think this is why many go back to someone instead of moving forward. sometimes it's easier to remember the good parts and forget all of the reasons for breaking up.🙂,1715586427.4629667
C65lr4myheb,C6kra6CPGRq,6,neelam_jangid435,Ryt na ....,1715586427.4629743
C6lzhBuIE1k,,71,dbtvsports,An encouraging message by the PCB Chairman to the Pakistan Cricket Team! 🇵🇰💚,1715586430.6433244
C63Qwi2xWNd,,241,ms_chakraborty,Dive into my eyes and swim in endless skies 🥀❤️,1715586433.9893706
C6329_FvnoN,C6mCNgxPz7y,150,sanjuktamishra7,🌌✨️,1715586433.9893808
C61rLYthCty,C6mCNgxPz7y,502,jayasree_acharjee,🧿😊,1715586433.989384
C61A-TwSIBp,C6mCNgxPz7y,98,suchirng13,,1715586433.9893863
C65Tus9SFsL,C6mCNgxPz7y,206,pampa._.maity,Hye🤍☺️,1715586433.9893887
C6khQd5pwIP,,21,meghalapadmakumar_pappa,Hi💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥💥💥,1715586436.7739446
C6ktW1cpdyl,C6khQd5pwIP,0,fit79016,Hy,1715586436.7739577
